title,location,area,size,rooms,sqm_m2,price_VND,province,country
"Bán nhà mặt tiền đường Nguyễn Biểu, Quận 5, 4 lầu, 77m2, giá 28,2 tỷ",Quận 5,77 m² - 8 PN,77 m²,8 PN,77.0,26800000000,thanh pho ho chi minh,vietnam
CHÍNH CHỦ CẦN BÁN NHÀ QUẬN 5- 2TỶ 850TR,Quận 5,21 m² - 2 PN,21 m²,2 PN,21.0,2850000000,thanh pho ho chi minh,vietnam
Bán nhà mặt tiền đường Nguyễn Trãi,Quận 5,80 m² - 5 PN,80 m²,5 PN,80.0,29500000000,thanh pho ho chi minh,vietnam
cần bán nhà Phạm hữu chí Q5,Quận 5,57 m² - 5 PN,57 m²,5 PN,57.0,18000000000,thanh pho ho chi minh,vietnam
"BÁN NHÀ MẶT TIỀN 4,1x8,65, 4 PHÒNG NGỦ, NGUYỄN TRÃI QUẬN 5",Quận 5,35.47 m² - 4 PN,35.47 m²,4 PN,35.47,16000000000,thanh pho ho chi minh,vietnam
Cần bán căn hộ mặt tiền đường Võ Văn Kiệt gần bưu điện quận 5,Quận 5,102 m² - 2 PN,102 m²,2 PN,102.0,2450000000,thanh pho ho chi minh,vietnam
"Bán chung cư cũ 63 m2 mặt tiền đường Tản Đà, 2pn , 1wc",Quận 5,63.0999 m² - 2 PN,63.0999 m²,2 PN,63.0999,2390000000,thanh pho ho chi minh,vietnam
bán nhà mặt tiền Hồng bàng Q5 đối diện bệnh viện phụ sản hùng vương .,Quận 5,42 m² - 1 PN,42 m²,1 PN,42.0,9500000000,thanh pho ho chi minh,vietnam
"BÁN CĂN HỘ 54M2 CHUNG CƯ VIỄN ĐÔNG QUẬN 5 - GIÁ 2,8 TỶ (TL)",Quận 5,54 m² - 1 PN,54 m²,1 PN,54.0,2800000000,thanh pho ho chi minh,vietnam
Sạp chợ Kim Biên,Quận 5,,20 m²,,20.0,1000000000,thanh pho ho chi minh,vietnam
"Cần đổi nhà, bán nhà mặt tiền, 2 lầu",Quận 5,50 m² - 3 PN,50 m²,3 PN,50.0,12000000000,thanh pho ho chi minh,vietnam
Chính chủ Bán nhà mặt tiền trung tâm Q5,Quận 5,26 m² - 3 PN,26 m²,3 PN,26.0,14800000000,thanh pho ho chi minh,vietnam
Cần bán căn nhà Q5,Quận 5,22 m² - 3 PN,22 m²,3 PN,22.0,4000000000,thanh pho ho chi minh,vietnam
Bán nhà chung cư Sư Vạn Hạnh quận 5,Quận 5,62 m² - 2 PN,62 m²,2 PN,62.0,3200000000,thanh pho ho chi minh,vietnam
cần bán nhà chính chủ mới xây mới dọn vào ở ngay. 5 pn .3nvs .,Quận 5,27 m² - 5 PN,27 m²,5 PN,27.0,6000000000,thanh pho ho chi minh,vietnam
Bán chung cư đường Lão Tử,Quận 5,64 m² - 4 PN,64 m²,4 PN,64.0,2800000000,thanh pho ho chi minh,vietnam
"Hoa hồng 1% - Bán nhà riêng Nguyễn Trãi, p.2, Q.5, HCM, 8,95 tỷ, 47 m2",Quận 5,47 m² - 2 PN,47 m²,2 PN,47.0,8950000000,thanh pho ho chi minh,vietnam
Cần bán nhà 3 lầu 3.3x14m p An Đông hcm,Quận 5,46 m² - 3 PN,46 m²,3 PN,46.0,9500000000,thanh pho ho chi minh,vietnam
"gần chợ, trường học, nhà hàng, bệnh vien, ngân hang…….",Quận 5,146.6999 m² - 6 PN,146.6999 m²,6 PN,146.6999,42000000000,thanh pho ho chi minh,vietnam
Bán nhà mặt tiền vừa ở vừa kd,Quận 5,102 m² - 2 PN,102 m²,2 PN,102.0,11700000000,thanh pho ho chi minh,vietnam
"Chính chủ bán căn 61 m2, 2PN 2WC, cạnh cầu Nguyễn Tri Phương",Quận 5,61 m² - 2 PN,61 m²,2 PN,61.0,3100000000,thanh pho ho chi minh,vietnam
"Hoa hồng 1% - Bán nhà  Nguyễn Trãi, Phường 2, Quận 5,giá 8,95 tỷ, 47m2",Quận 5,47 m² - 2 PN,47 m²,2 PN,47.0,8950000000,thanh pho ho chi minh,vietnam
