Link,Tiêu đề,Diện tích,Hướng ban công,Hướng nhà,Khoảng giá,Mặt tiền,Nội thất,Pháp lý,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Đường vào
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/3pn-dep-nhat-140m2-view-song-cong-vien-chi-9-ty-call-0901692239-pr23948214,Chuyên bán căn hộ Vinhomes Central Park & Landmark 81 giá tốt nhất (1-2-3-4 PN). LH 0901 692 ***,126 m²,,,"10,2 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/san-ban-nhanh-view-song-2pn-gia-1-8-ty-va-2pn-gia-2-45-ty-lh-0968601023-pr34017492,"Sẵn căn hộ Q7 Riverside bán nhanh view sông 2PN2WC giá 3,7 tỷ, bao thuế phí. LH 0704 589 ***",68 m²,,,"3,7 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-gap-2pn-87m-tai-vinmes-gia-tot-nhat-thi-truong-pr43026593,"Giỏ hàng 2PN 80 đến 87m² Vinhomes Central Park,Nhiều view đẹp:Landmark,sông,nội khu Giá từ 8.7 tỷ",87 m²,,,10 tỷ,,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/n-vinmes-q1-1pn-8-5ty-2pn-12ty-3pn-20ty-4pn-40t-60ty-view-dep-so-ng-cam-tay-pr44627459,"Bán căn hộ Vinhomes Ba Son Q1-1PN 8.5Tỷ-2PN-12Tỷ-3PN -20Tỷ-4PN 40T-60Tỷ View Đẹp, Sổ Hồng cầm tay",121 m²,Đông - Bắc,Tây - Nam,28 tỷ,,,,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-luu-phuong-long-truong-prj-chung-cu-mt-eastmark-city/ro-hang-f0-1pn-2pn-3pn-shophouse-gia-tu-3-1ty-ban-giao-full-so-hong-trao-tay-pr44627328,"Rổ Hàng F0 MT Eastmark City: 1PN-2PN-3PN, Shophouse. Giá từ 3.1Tỷ. Bàn Giao Full. Sổ Hồng Trao Tay",63 m²,,,"3,2 tỷ",,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-vinmes-187-7m2-4pn-toa-3-view-truc-song-pr28923546,Chuyên bán căn hộ Vinhomes Central Park & Landmark 81 giá tốt nhất (1-2-3-4 PN). LH 0901 692 ***,85 m²,,,"7,96 tỷ",,NT cơ bản,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-cong-phuong-3-20/chinh-chu-ban-can-goc-3-tien-p-3-q-go-vap-dep-dang-cho-thue-10ty-pr44627196,"Chính chủ bán gấp nhà căn góc 3 mặt tiền Nguyễn Văn Công, pháp lý chuẩn, mặt tiền 10m - chỉ 10,5 tỷ",45 m²,,Tây - Nam,"10,5 tỷ","4,1 m",,Sổ hồng,2 phòng,3 phòng,2 tầng,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-3pn-2wc-tai-vinmes-1-1-ty-102m2-pr43329923,Cập nhật giỏ hàng giá tốt (1PN-5tỷ4) (2PN-7tỷ9) (3PN-11tỷ5) (4PN-18tỷ) Vinhomes Central Park BT,85 m²,Nam,Đông,"7,99 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-tai-vinmes-10-ty-126m2-gia-c-chat-chi-voi-pr44627081,"Bán căn hộ chung cư tại Vinhomes Central Park, 10 tỷ, 126m2, giá cực chất chỉ với",126 m²,Nam,Đông,10 tỷ,,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-phu-dinh-phuong-16-1/khu-compound-mat-tien-q8-giao-hoan-thien-tret-lung-2-lau-gia-6-4ty-pr44626979,"Khu nhà phố compound mặt tiền đường Phú Định, Q8, giao nhà hoàn thiện, trệt lửng 2 lầu giá 6.4tỷ",50 m²,,Đông - Nam,"6,4 tỷ",6 m,,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,3 tầng,30 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/chuyen-chuyen-nhuong-ht-vay-bank-80-bao-gia-thap-nhat-thi-truong-pr38623445,Chuyên CH Masteri Thảo Điền - cam kết báo giá thật - bao giá thấp nhất thị trường - hỗ trợ vay 80%,74 m²,Tây - Bắc,Đông - Nam,Thỏa thuận,,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-luu-phuong-long-truong-prj-chung-cu-mt-eastmark-city/chi-360tr-so-huu-ngay-ch-easmark-q9-san-so-cc-cdt-tro-vay-80-mien-tt-goc-lai-18th-ck-5-pr44626705,"Chỉ 360tr sở hữu ngay CH MT Easmark Q9, sẵn Sổ CC, CĐT hỗ trợ vay 80%, Miễn TT gốc lãi 18th CK 5%",60 m²,,,"2,4 tỷ",,,Sổ đỏ/ Sổ hồng,1 phòng,1 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phu-thuan-phuong-tan-phu-19-prj-sunshine-sky-city/nhan-booking-toa-v7-v8-v9-khu-thinh-vuong-gia-tu-7x-trieu-m2-lh-pr44625986,"NHẬN BOOKING TÒA V7 - V8 - V9 KHU THỊNH VƯỢNG SUNSHINE SKY CITY, GIÁ TỪ 7X TRIỆU/M2. LH: 0907 891 ***",75 m²,,Đông - Nam,"5,5 tỷ",,Cơ bản,,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-an-phu-prj-the-global-city/list-gio-hang-1-phong-ngu-doc-quyen-gia-niem-yet-truc-tiep-cdt-masterise-home-pr44625667,List giỏ hàng 1 phòng ngủ | Độc quyền | Gía niêm yết trực tiếp CĐT Masterise Home - 0936 033 ***,48 m²,Đông - Nam,Tây,"5,7 tỷ",,Đầy đủ,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phu-thuan-phuong-tan-phu-19-prj-sunshine-sky-city/gio-hang-s1-gia-tot-2pn-lh-em-thanh-anh-pr44625509,Giỏ hàng S1 giá tốt 2PN Sunshine Sky City. LH 0989 272 *** em Thanh Anh,70 m²,,,4 tỷ,,,,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-dat-duong-song-hanh-phuong-an-phu/chinh-chu-b-lo-q2-g-khu-the-gloabl-city-eaton-park-tien-ich-day-du-tiem-ng-cao-pr44625142,"Chính chủ bán lô đất An Phú- Q2, gần khu The Global City/Eaton Park, tiện ích đầy đủ, tiềm năng cao","576,9 m²",,,25 tỷ,,,Sổ hồng,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phuoc-thien-phuong-long-binh-3-prj-the-origami-vinhomes-grand-park/chu-nha-ket-tien-ban-gap-2pn2wc-59m2-co-so-gia-3ty200-btp-khu-origami-pr44624859,"Chủ nhà kẹt tiền cần bán gấp căn 2pn2wc 59m2, có sổ, giá 3ty200 btp Khu Origami.",59 m²,Tây - Bắc,Đông - Nam,"3,2 tỷ",,Cơ bản,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lo-lu-phuong-truong-thanh-prj-chung-cu-elysian/-full-gio-hang-chuyen-nhuong-studio-2-6-ty-1pn-3-450-ty-2pn-5-450-ty-bao-thue-phi-pr44530709,Elysian full giỏ hàng chuyển nhượng - Studio: 2.6 tỷ - 1PN: 3.450 tỷ - 2PN: 5.450 tỷ bao thuế phí,"80,4 m²",,,"5,98 tỷ",,Cơ bản,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-that-thuyet-phuong-1-prj-de-la-sol/nam-full-gio-hang-doc-quyen-delasol-quan-4-1pn-tu-7tyx-2pn-3pn-tu-7tyx-13ty-dep-all-in-pr44214406,"Nắm Full giỏ hàng độc quyền Delasol, Quận 4 1PN từ 7tỷx, 2PN/3PN từ 7tỷx-13tỷ(căn đẹp) all in",76 m²,,,"8,2 tỷ",,Đầy đủ,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-xien-phuong-long-thanh-my-prj-vinhomes-grand-park/cap-nhat-gio-hang-cdt-gia-studio-1-8-ty-1pn-2-3ty-2pn-3-8-ty-3pn-gia-3-9-ty-pr44138393,"Chủ đầu tư Vinhomes Grand Park - Cập nhật giá bán Studio 2.2 tỷ 1PN 2.6tỷ, 2PN 3.8 tỷ, 3PN 3.9 tỷ",38 m²,,Đông - Nam,"2,3 tỷ",,Cơ bản,Sổ đỏ/ Sổ hồng,1 phòng,1 phòng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-tho-phuong-11-8/ban-hem-xe-hoi-dt-4x15m-4-tang-4pn-5wc-11-go-vap-pr44621503,"Bán nhà hẻm xe hơi DT 4x15m, 4 tầng, 4PN 5WC, Lê Văn Thọ Phường 11 Gò Vấp",61 m²,,,"7,1 tỷ",4 m,Cơ bản.,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,4 tầng,4 m
https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-xa-phu-xuan/anh-chi-co-thich-o-khu-dong-bo-nhu-the-nay-tai-be-gia-8-9-ty-pr42814858,Anh chị có thích ở khu nhà đồng bộ như thế này tại đường Huỳnh Tấn Phát Nhà Bè - giá 8.25 tỷ,80 m²,,,"8,25 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,3 tầng,6 m
https://batdongsan.com.vn/ban-dat-duong-le-thi-tam-xa-nhon-duc/hailongreal-van-luong-re-vao-36tr-m2-dt-9-4x26-5m-248m2-gan-4-truong-hoc-pr44616298,"Hailongreal: Đất Lê Văn Lương rẽ vào Lê Thị Tám: 36tr/m2, DT: 9.4x26.5m, 248m2, gần 4 trường học",248 m²,,,36 triệu/m²,,,Sổ đỏ/ Sổ hồng.,,,,12 m
https://batdongsan.com.vn/ban-nha-rieng-duong-ly-phuc-man-phuong-binh-thuan-3/-pho-vua-o-vua-kinh-doanh-duoc-so-rong-12m-cua-so-hong-hoan-cong-gia-7-9-ty-pr44610780,"Nhà phố vừa ở vừa kinh doanh được - Đường số rộng 12m của Lý Phục Man - Sổ hồng hoàn công Giá 7,9tỷ","44,4 m²",,,"7,9 tỷ","7,4 m",Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,2 tầng,12 m
https://batdongsan.com.vn/ban-dat-duong-33-1-phuong-linh-dong/ban-3-lo-thong-xe-tai-ngay-cho-tam-ha-ban-co-xung-quanh-deu-la-biet-thu-pr44613266,"Bán lô đất đường thông xe tải ngay chợ Tam Hà, đường bàn cờ xung quanh đều là biệt thự",75 m²,,,"6,5 tỷ",,,Sổ đỏ/ Sổ hồng.,,,,6 m
https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-nhon-duc/hailongreal-4-95ty-dt-6-4x12-5m-1-lau-hem-cao-rao-10-nam-khong-ngap-khu-1632-luong-pr44617049,"HailongreaL: Nhà 4.95tỷ DT: 6.4x12.5m, 1 lầu, hẻm cao ráo 10 năm không ngập, khu 1632/ Lê Văn Lương",80 m²,,,"4,95 tỷ",,,Sổ đỏ/ Sổ hồng.,4 phòng,4 phòng,2 tầng,7 m
https://batdongsan.com.vn/ban-dat-duong-so-12-phuong-hiep-binh-chanh/hang-hiem-dau-tu-16ty-lo-160m2-8x20m-ngay-tttm-gigamall-25-khu-ben-sog-p-hbc-pr44616666,"Hàng hiếm đầu tư - 16 tỷ - lô đất 160m2(8x20m) - ngay TTTM GigaMall - đường 12, khu bên sông P.HBC",160 m²,,,16 tỷ,8 m,,Sổ đỏ/ Sổ hồng.,,,,12 m
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-tu-toan-phuong-an-lac-6/bt-sat-ten-lua-lien-ke-quan-6-2-tang-4-x-8-vuong-vuc-nho-vi-tri-vang-kho-tim-pr44464654,BT - Sát Tên Lửa - Liền kề quận 6 (2 tầng - 4 x 8) vuông vức - nhà nhỏ vị trí vàng khó tìm,33 m²,,Nam,"3,55 tỷ",4 m,,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,2 tầng,4 m
https://batdongsan.com.vn/ban-nha-rieng-duong-le-duc-tho-phuong-16-3/dang-dau-tu-chdv-vip-thu-1-5ty-nam-6tang-20pn-hieu-suat-9-nam-gia-mem-pr44542758,"Đáng đầu tư! CHDV Vip thu ~1,5tỷ/năm - 6tầng - 20PN - Hiệu suất 9%/ năm - giá mềm",83 m²,,,"15,5 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,20 phòng,20 phòng,6 tầng,
https://batdongsan.com.vn/ban-dat-duong-ngo-chi-quoc-phuong-binh-chieu/ban-eu-thu-duc-3-82-ty-64m2-pr44613184,"Bán đất Ngô Chí Quốc, Bình Chiểu, Thủ Đức, 3,3 tỷ - 55.6m2","55,6 m²",,Đông - Nam,"3,3 tỷ","4,1 m",,Sổ đỏ/ Sổ hồng.,,,,6 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/suat-ngoai-giao-can-gio-uu-dai-chiet-khau-18-vi-tri-sieu-dep-lh-chu-dau-tu-pr43991493,"Suất ngoại giao Vinhomes Cần Giờ, chiết khấu 22%, Giá chỉ 90 triệu/m2. LH Trực Tiếp CĐT",200 m²,,,Thỏa thuận,,,,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/-ban-nhanh-quan-7-gia-tot-nhat-hien-tai-san-so-cong-lien-pr44622624,CẦN BÁN NHANH CĂN HỘ SUNRISE CITY QUẬN 7. GIÁ TỐT NHẤT HIỆN TẠI ( sẵn sổ công chứng liền),74 m²,Đông,Tây,"6,85 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/chinh-thuc-n-booking-dot-mo-ban-dau-tien-can-gio-100-200-trieu-suat-pho-thu-pr44110571,"Quỹ cănF1 Vịnh Ngọc(Ánh Sáng, TDX,TD,TL) 75m2-180m2 chỉ 10-20 tỷ. Thanh toán 2,5 tỷ-3,5tỷ-HTLS-18th",75 m²,,,"10,9 tỷ",5 m,,Hợp đồng mua bán,3 phòng,3 phòng,3 tầng,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/quy-can-dep-va-re-nhat-du-an-chiet-khau-cao-lh-ngay-pr44565352,"Quỹ căn biệt thự đẹp và rẻ nhất dự án Vinhomes Cần Giờ, chiết khấu đến 18.5%, LH ngay 0913 754 ***",188 m²,,,Thỏa thuận,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/ban-nhanh-chi-nhinh-10-ty-vnd-75m2-doi-dien-sanh-chung-cu-pr44537475,Biệt thự liền kề chỉ từ 90tr/m2. Nhà phố view sảnh chung cư. Giá đợt 1. LH ngay 0913 754 ***,75 m²,Đông,Đông - Nam,Thỏa thuận,,Cơ bản,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-dat-xa-tan-thong-hoi-1/can-tien-nen-can-ban-gap-lo-8800m2-gan-200m-mat-tien-duong-pr42603360,Cần tiền nên cần bán gấp lô đất 8800m2 gần 200m mặt tiền đường kênh 7 Tân Thông Hội,8.800 m²,,Tây - Bắc,"20,2 tỷ",,,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-2-pn-tai-nhu-hinh-gia-tot-lh-em-dung-viber-zalo-pr40556344,Chuyên chuyển nhượng giá rẻ số 1 thị trường - bao pháp lý - HT vay 70% - LH 0906 574 *** em Dung 24/7,70 m²,Đông - Bắc,Nam,Thỏa thuận,,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/-ban-gap-nhieu-1pn-2pn-3pn-4pn-shophouse-da-co-so-hong-tai-0901511155-pr36227388,Cần bán gấp căn hộ 1PN 2PN 3PN 4PN giá tốt nhất thị trường tại Vinhomes Central Park 0901 511 ***,108 m²,,,14 tỷ,,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-10-ty-3pn-2wc-day-du-that-nhan-nha-ngay-lh-pr44435470,"Bán căn hộ Masteri Thảo Điền, 3PN và duplex, penhouse từ 9 tỷ ở ngay và đầu tư sổ sẵn LH 0704 589 ***",95 m²,,,9 tỷ,,Đầy đủ nội thất,,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-1-phuong-truong-tho-2-prj-lavita-charm/-17-4-ban-giao-ban-gia-uu-dai-1pn-chi-1-9ty-view-dep-bap-full-phi-0939720039-pr29172609,"Bán gấp căn hộ Lavita Charm giá tốt nhất thị Trường Off (2,3 tỷ) 2PN (4,45 tỷ)",68 m²,,,"4,45 tỷ",,,,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/phong-kinh-doanh-chu-dau-tu-can-gio-cap-t-gia-ban-moi-t-du-kien-7-5-ty-can-pho-pr44270076,"Thông tin chính thức chủ đầu tư Vinhomes Cần Giờ - Giá bán đợt 1 chỉ từ 12,9 tỷ/căn nhà phố 75m2",75 m²,Đông - Nam,Đông - Nam,"12,9 tỷ",,Cơ bản,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,3 tầng,50 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-an-phu-prj-lumiere-riverside/-em-chuyen-san-nhung-gia-goc-cat-52m2-7-5ty-77m2-9-5ty-101m2-14ty-pr44150789,"Lumiere Riverside em chuyên săn những căn giá gốc cắt lỗ (52m2-8,5tỷ) (77m2-10,5 tỷ) (101m2-15tỷ)",52 m²,Đông - Nam,Tây - Bắc,"8,5 tỷ",,Cơ bản.,Sổ đỏ/ Sổ hồng,1 phòng,1 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-lavida-plus/gio-hang-50-cuoi-cdt-gia-tot-nhat-truc-huu-t-30-nhan-nha-o-ngay-vcb-tro-vay-0-pr42930982,"Giỏ hàng 10 căn độc quyền CĐT Lavida Plus 2MT Nguyễn Văn Linh, 30% nhận nhà ngay, VCB hỗ trợ LS 0%",55 m²,Đông - Bắc,Tây - Nam,"3,88 tỷ",,Cơ bản,Hợp đồng mua bán,1 phòng,1 phòng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-au-co-phuong-10-10/gap-chu-ngop-bank-ban-lo-truoc-tet-moi-keng-sat-mt-3-l-full-nt-gia-4-ty-75-pr44610241,"Gấp! Chủ ngộp bank bán lỗ trước tết - nhà mới keng sát MT Âu Cơ, 3 lầu, full NT. Giá 4 tỷ 75",35 m²,,,"4,75 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,3 tầng,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phuoc-thien-phuong-long-binh-3-prj-the-origami-vinhomes-grand-park/uu-dai-28-2pn2wc-chi-co-2-8t-view-vuon-nhat-boi-duy-nhat-cum-ky-truc-tiep-vinmes-pr43432712,"Ưu đãi Vinhomes Q9 khu Origami giảm 30%, Giỏ căn 1PN+ 2,5T, 2PN 3.2T,2PN+ 70m2 3,4T .",58 m²,Đông,Đông,"2,95 tỷ",,Cơ bản,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-tang-bat-ho-phuong-11-7/toi-can-ban-can-p11-binh-thanh-gia-3-ty790-78m2-so-toi-dung-ten-pr44618500,"Tôi cần bán căn nhà đường Tăng Bạt Hổ, P11 Bình Thạnh, Giá 3 Tỷ790, 78m2, sổ tôi đứng tên",78 m²,,,"3,79 tỷ",,Đầy đủ,,4 phòng,5 phòng,3 tầng,
